Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
123	333	de	4948	256	284	0.303797	0.262646	0.281727
124	272	Ge	4943	318	269	0.334499	0.410342	0.368559
125	260	wei	4897	309	267	0.388789	0.454751	0.419191
126	300	zi	4879	216	196	0.315271	0.343575	0.328815
127	237	dass▁	4840	469	277	0.358233	0.621399	0.454468
128	468	ll	4814	278	218	0.276406	0.337607	0.303956
129	214	ge▁	4777	264	200	0.204482	0.273256	0.233919
130	204	mi	4739	397	294	0.298205	0.416298	0.347492
131	46	G	4734	291	269	0.542293	0.600418	0.569878
132	194	ab	4698	363	529	0.449275	0.36765	0.404385
133	258	Re	4686	249	305	0.524336	0.433931	0.474869
134	240	lich▁	4662	226	201	0.292063	0.348066	0.317615
135	139	un	4627	289	236	0.391892	0.475279	0.429576
136	40	ö	4608	265	201	0.279412	0.382022	0.322758
137	178	ro	4604	236	274	0.437688	0.389368	0.412116
138	275	In	4594	180	228	0.551198	0.43982	0.48925
139	242	nicht▁	4592	229	268	0.661164	0.57274	0.613784
140	406	sta	4524	296	210	0.272265	0.378238	0.316619
141	259	St	4421	343	291	0.465604	0.548548	0.503684
142	39	I	4365	190	200	0.548654	0.500947	0.523716
143	249	dem▁	4339	329	251	0.258532	0.337719	0.292868
144	298	li	4314	291	300	0.545098	0.537288	0.541165
145	248	rei	4221	240	193	0.380531	0.488753	0.427905
146	255	im▁	4194	280	223	0.256917	0.323383	0.286344
147	235	ungen▁	4191	165	132	0.251634	0.311295	0.278303
148	196	ter	4185	199	176	0.277467	0.300813	0.288669
149	257	werden▁	4164	159	157	0.351351	0.348276	0.349807
150	262	wir▁	4021	104	105	0.726054	0.733716	0.729865
151	425	fa	3961	215	144	0.121827	0.181159	0.145684
152	183	ol	3952	297	262	0.481622	0.566667	0.520695
153	236	eit	3951	186	223	0.342105	0.281357	0.308772
154	251	än	3945	199	167	0.343407	0.395402	0.367575
155	254	l▁	3942	267	264	0.329466	0.3361	0.33275
156	266	il	3910	258	263	0.449561	0.450708	0.450134
157	265	men▁	3880	123	109	0.228814	0.254808	0.241112
158	50	U	3830	229	192	0.636289	0.768245	0.696068
159	247	a▁	3829	267	303	0.64527	0.580186	0.611
160	217	ier	3814	237	160	0.20155	0.279605	0.234247
161	57	y	3809	515	410	0.502777	0.640899	0.563498
162	197	eh	3767	240	176	0.232143	0.315171	0.267359
163	19	c	3744	293	308	0.463589	0.443732	0.453443
164	273	ff	3742	270	208	0.300412	0.400926	0.343466
165	327	ru	3724	269	228	0.450207	0.54018	0.491107
166	486	lu	3592	175	149	0.302935	0.34965	0.324621
167	58	1	3585	314	338	0.849597	0.83773	0.843622
168	292	ssen▁	3557	127	90	0.202479	0.289683	0.238355
169	290	aus	3518	189	184	0.241379	0.234012	0.237638
170	281	An	3507	234	140	0.190698	0.311705	0.236629
171	280	sich▁	3486	258	176	0.120902	0.179412	0.144457
172	59	2	3484	256	266	0.820031	0.833772	0.826845
173	365	iel	3477	303	223	0.378033	0.517083	0.436758
174	321	lei	3452	109	108	0.216981	0.213592	0.215273
175	203	eu	3448	134	119	0.276	0.313636	0.293617
176	342	ger	3444	202	128	0.194595	0.283898	0.230913
177	284	all	3414	144	151	0.406716	0.390071	0.39822
178	458	ion▁	3360	100	113	0.392473	0.344551	0.366954
179	54	Z	3357	192	159	0.289474	0.349882	0.316824
180	277	um▁	3347	246	215	0.280435	0.314356	0.296428
181	256	an▁	3335	304	151	0.181873	0.338129	0.236525
182	287	Die▁	3321	205	297	0.467822	0.322034	0.381473
183	316	schen▁	3300	200	200	0.49009	0.508772	0.499256
184	285	auch▁	3279	88	135	0.389535	0.248677	0.303562
185	239	ber	3261	190	143	0.25	0.323308	0.281967
186	174	ch▁	3248	212	158	0.19598	0.259132	0.223175
187	492	De	3236	270	203	0.375494	0.5	0.428894
188	228	dies	3228	78	100	0.402597	0.304124	0.3465
189	311	ür	3186	193	154	0.326705	0.416667	0.366242
190	360	et	3171	228	156	0.268116	0.387654	0.31699
191	210	ur	3164	254	240	0.389381	0.407143	0.398064
192	60	J	3149	397	468	0.738725	0.649543	0.69127
193	291	hal	3147	108	113	0.182692	0.160377	0.170809
194	238	na	3143	200	151	0.265193	0.346429	0.300416
195	270	ischen▁	3125	93	70	0.244318	0.335938	0.282895
196	61	C	3104	405	354	0.59824	0.685264	0.638802
197	297	chen▁	3095	171	187	0.254167	0.21748	0.234396
198	335	cht▁	3086	192	164	0.206215	0.229032	0.217025
199	303	and	2970	155	101	0.231935	0.364751	0.283561
200	446	Ma	2939	274	199	0.381048	0.535782	0.445358
201	181	ich▁	2931	128	125	0.655018	0.672549	0.663668
202	485	du	2905	123	133	0.443939	0.4	0.420826
203	302	-▁	2904	75	107	0.359649	0.270042	0.30847
204	150	r▁	2899	255	166	0.240586	0.366242	0.290404
