Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-enhi-500k/011-enhi-.5k.5k-r1	500	18,419,334	36.84	0.41	486	7856	3859	1920	892	148	20,030,134	40.06	0.452	490	1822	1042	603	531	10	15.8	-0.121	-0.175	15.8	0.011	-0.503
runs-enhi-500k/022-enhi-01k01k-r1	1,000	15,664,500	31.33	0.453	980	3350	2206	1117	436	9	16,605,972	33.21	0.462	985	2455	1088	570	203	4	16.3	-0.08	-0.187	15.6	-0.067	-0.26
runs-enhi-500k/033-enhi-02k02k-r1	2,000	13,602,553	27.21	0.499	1,973	1148	727	282	110	1	14,281,877	28.56	0.495	1,979	1209	572	215	66	1	16.1	0.01	-0.131	15.7	0.029	-0.168
runs-enhi-500k/044-enhi-04k04k-r1	4,000	11,927,018	23.85	0.545	3,962	447	234	85	31	1	12,480,445	24.96	0.542	3,967	437	167	53	23	1	15.6	0.087	-0.119	15.7	0.075	-0.092
runs-enhi-500k/055-enhi-08k08k-r1	8,000	10,600,033	21.2	0.589	7,934	156	75	23	8	1	11,174,157	22.35	0.595	7,945	156	73	22	9	1	15.3	0.135	-0.113	15.7	0.127	-0.106
runs-enhi-500k/066-enhi-16k16k-r1	16,000	9,684,875	19.37	0.647	15,833	57	26	8	4	1	10,322,158	20.64	0.657	15,857	57	27	11	5	1	15.5	0.202	-0.103	15.4	0.169	-0.158
runs-enhi-500k/077-enhi-32k32k-r1	32,000	9,127,541	18.26	0.719	31,388	18	9	3	2	1	9,805,094	19.61	0.727	31,491	18	10	4	2	1	14.1	0.213	-0.156	14.5	0.212	-0.207
runs-enhi-500k/088-enhi-48k48k-r1	48,000	8,923,579	17.85	0.765	46,606	9	5	2	1	1	9,605,263	19.21	0.769	46,744	9	6	2	1	1	13.4	0.23	-0.179	13.9	0.231	-0.229
runs-enhi-500k/099-enhi-64k64k-r1	64,000	8,817,533	17.64	0.798	61,414	5	3	1	1	1	9,492,658	18.99	0.8	61,606	6	4	2	1	1	13.2	0.253	-0.209	13.8	0.26	-0.252
																									
