Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
452	726	because▁	20388	35	59	0.771429	0.473214	0.586596
453	496	sup	20369	40	48	0.575	0.478723	0.522463
454	1194	acti	20347	26	26	0.76	0.76	0.76
455	725	where▁	20341	34	33	0.621212	0.636364	0.628697
456	403	cre	20320	24	14	0.454545	0.807692	0.581717
457	257	gh	20300	70	60	0.614286	0.732759	0.668312
458	355	ter▁	20278	46	47	0.709302	0.688889	0.698947
459	605	ating▁	20270	27	18	0.173077	0.277778	0.21327
460	728	6▁	20219	46	49	0.916667	0.847826	0.880903
461	622	sol	20187	14	23	0.857143	0.521739	0.648649
462	70	6	20126	41	40	0.9	0.934211	0.916786
463	304	0▁	20116	36	32	0.861111	0.983871	0.918407
464	1072	re▁	19934	60	31	0.381356	0.75	0.505618
465	733	Con	19907	29	30	0.759259	0.724138	0.741283
466	368	ght▁	19856	89	83	0.541176	0.567073	0.553822
467	735	ned▁	19845	43	47	0.416667	0.382979	0.399113
468	1666	ys	19838	54	46	0.692308	0.811111	0.747015
469	597	ell	19738	65	63	0.783333	0.791667	0.787478
470	739	7▁	19528	37	39	0.916667	0.868421	0.891892
471	301	ow▁	19517	38	40	0.666667	0.625	0.645161
472	428	ice▁	19494	59	47	0.596491	0.775194	0.674202
473	576	ical▁	19438	32	35	0.821429	0.71875	0.766667
474	299	per	19435	55	36	0.469388	0.69697	0.560976
475	743	just▁	19227	54	26	0.25	0.5	0.333333
476	490	day▁	19216	196	193	0.932961	0.954023	0.943374
477	746	made▁	19091	48	34	0.377778	0.530303	0.441231
478	596	Al	19083	39	42	0.842105	0.780488	0.810127
479	589	S▁	19045	15	20	1	0.75	0.857143
480	780	ture▁	19013	10	8	0.7	0.875	0.777778
481	754	...▁	18904	4	3	0.75	1	0.857143
482	592	als▁	18875	49	28	0.408163	0.714286	0.519481
483	752	years▁	18867	41	54	0.948718	0.715686	0.815889
484	1329	Li	18734	49	49	0.893617	0.893617	0.893617
485	750	had▁	18728	133	116	0.489837	0.556604	0.521091
486	72	7	18687	43	40	0.921053	1	0.958904
487	784	ris	18634	54	50	0.703704	0.791667	0.745098
488	763	If▁	18619	12	16	0.583333	0.4375	0.5
489	707	ved▁	18526	41	46	0.487179	0.413043	0.447059
490	392	ain▁	18516	39	43	0.540541	0.465116	0.5
